Private flight,\N,-,N/A,,,Y
135 Airways,\N,,GNL,GENERAL,United States,N
1Time Airline,\N,1T,RNX,NEXTIME,South Africa,Y
2 Sqn No 1 Elementary Flying Training School,\N,,WYT,,United Kingdom,N
213 Flight Unit,\N,,TFU,,Russia,N
223 Flight Unit State Airline,\N,,CHD,CHKALOVSK-AVIA,Russia,N
224th Flight Unit,\N,,TTF,CARGO UNIT,Russia,N
247 Jet Ltd,\N,,TWF,CLOUD RUNNER,United Kingdom,N
3D Aviation,\N,,SEC,SECUREX,United States,N
40-Mile Air,\N,Q5,MLA,MILE-AIR,United States,Y
4D Air,\N,,QRT,QUARTET,Thailand,N
611897 Alberta Limited,\N,,THD,DONUT,Canada,N
Ansett Australia,\N,AN,AAA,ANSETT,Australia,Y
Abacus International,\N,1B,,,Singapore,Y
Abelag Aviation,\N,W9,AAB,ABG,Belgium,N
Army Air Corps,\N,,AAC,ARMYAIR,United Kingdom,N
Aero Aviation Centre Ltd.,\N,,AAD,SUNRISE,Canada,N
Aero Servicios Ejecutivos Internacionales,\N,,SII,ASEISA,Mexico,N
Aero Biniza,\N,,BZS,BINIZA,Mexico,N
Aero Albatros,\N,,ABM,ALBATROS ESPANA,Spain,N
Aigle Azur,\N,ZI,AAF,AIGLE AZUR,France,Y
Aloha Airlines,\N,AQ,AAH,ALOHA,United States,Y
Alaska Island Air,\N,,AAK,ALASKA ISLAND,United States,N
American Airlines,\N,AA,AAL,AMERICAN,United States,Y
Aviation Management Corporation,\N,,AAM,AM CORP,United States,N
Atlantis Airlines (USA),\N,,AAO,ATLANTIS AIR,United States,N
Aerovista Airlines,\N,,AAP,AEROVISTA GROUP,United Arab Emirates,N
Asiana Airlines,\N,OZ,AAR,ASIANA,Republic of Korea,Y
Askari Aviation,\N,4K,AAS,AL-AAS,Pakistan,Y
Australia Asia Airlines,\N,,AAU,AUSTASIA,Australia,N
Astro Air International,\N,,AAV,ASTRO-PHIL,United States,N
Afriqiyah Airways,\N,8U,AAW,AFRIQIYAH,Libya,Y
Afrinat International Airlines,\N,Q9,AFU,,Gambia,N
Afric'air Express,\N,,AAX,AFREX,Ivory Coast,N
Allegiant Air,\N,G4,AAY,ALLEGIANT,United States,Y
Angus Aviation,\N,,AAZ,ANGUS,Canada,N
Artem-Avia,\N,,ABA,ARTEM-AVIA,Ukraine,N
African Business and Transportations,\N,,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
Aban Air,\N,K5,ABE,ABAN,Iran,n
Aerial Oy,\N,,ABF,SKYWINGS,Finland,N
Abakan-Avia,\N,,ABG,ABAKAN-AVIA,Russia,N
ABSA - Aerolinhas Brasileiras,\N,M3,TUS,ABSA Cargo,Brazil,Y
Abaet,\N,,ABJ,Abaet,Brazil,N
Alberta Citylink,\N,,ABK,ALBERTA CITYLINK,Canada,N
APSA Colombia,\N,,ABO,AEROEXPRESO,Colombia,N
Aerovias Bueno,\N,,ABU,AEROBUENO,Colombia,N
Aerocenter,\N,,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
Antrak Air,\N,4,ABV,ANTRAK,Ghana,N
Airborne Express,\N,GB,ABX,ABEX,United States,N
ABX Air,\N,GB,ABX,ABEX,United States,N
ATA Brasil,\N,,ABZ,ATA-BRAZIL,Brazil,N
Avcard Services,\N,,ACC,,United Kingdom,N
Academy Airlines,\N,,ACD,ACADEMY,United States,N
Aero Comondu,\N,,ACO,AERO COMONDU,Mexico,N
Astral Aviation,\N,8V,ACP,ASTRAL CARGO,Kenya,Y
Air Cess,\N,,ACS,,Liberia,N
Air Aurora,\N,,AAI,BOREALIS,United States,N
Air Cargo Transportation System,\N,,ACU,AFRISPIRIT,Kenya,N
Air Charter Service,\N,,ACV,,United Kingdom,N
Aero Asia International,\N,E4,RSO,AERO ASIA,Pakistan,N
Air Charters,\N,,ACX,PARAIR,Canada,N
Air Togo,\N,YT,TGA,AIR TOGO,Togo,N
Air Somalia,\N,,RSM,AIR SOMALIA,Somali Republic,N
Atlas Cargo Lines,\N,,ACY,ATLAS CARGOLINES,Morocco,N
Airservices Australia,\N,,ADA,AUSCAL,Australia,N
Advance Leasing Company,\N,4G,,,United States,N
Aztec Worldwide Airlines,\N,7A,,,United States,N
Air Tindi,\N,8T,,,Canadian Territories,Y
Antonov Airlines,\N,,ADB,ANTONOV BUREAU,Ukraine,N
Air Atlantic Dominicana,\N,,ADC,ATLAN-DOMINICAN,Dominican Republic,N
Advanced Air Co.,\N,,ADD,,Japan,N
Ada Air,\N,ZY,ADE,ADA AIR,Albania,Y
Aerea Flying Training Organization,\N,,ADG,AEREA TRAINING,Spain,N
Audeli Air,\N,,ADI,AUDELI,Spain,N
